Id;Amount;Vol_total;Btw_pour;Pour_time;Time;Dev_id;Brand_id;CustomerId;LocationId;CreationDate;CL;ConvertedAmount;ConvertedCL;SelectedCL;TimeUTC;Flow_0;FlowRate;Mode;TapId;StopCondition;Temp_after;Temp_before
3307181;2;2852;2;14000;2019-04-17 21:52:55.000;844e-0000-0f01-071a;1;78;96;17.04.2019 18:52;50;2;50;50;2019-04-17 18:52:55.000;1,78006;3,523809;1;302;0;0,5;1,399999976
3307465;2;2851;1102;13775;2019-04-17 22:11:33.000;844e-0000-0f01-071a;1;78;96;17.04.2019 19:11;50;2;50;50;2019-04-17 19:11:33.000;2,41335;3,580094;1;302;0;1,5;14,80000019
3307475;2;2854;10;14000;2019-04-17 22:11:59.000;844e-0000-0f01-071a;1;78;96;17.04.2019 19:11;50;2;50;50;2019-04-17 19:11:59.000;1,859649;3,526316;1;302;0;0,699999988;5,599999905
3307579;2;2852;296;13850;2019-04-17 22:17:09.000;844e-0000-0f01-071a;1;78;96;17.04.2019 19:17;50;2;50;50;2019-04-17 19:17:09.000;2,175439;3,561973;1;302;0;0,800000012;8,699999809
3307582;2;2850;2;14025;2019-04-17 22:17:26.000;844e-0000-0f01-071a;1;78;96;17.04.2019 19:17;50;2;50;50;2019-04-17 19:17:26.000;1,728712;3,515026;1;302;0;0,600000024;1,200000048
3307584;0;448;3;3500;2019-04-17 22:17:33.000;844e-0000-0f01-071a;1;78;96;17.04.2019 19:17;0;0;0;30;2019-04-17 19:17:33.000;1,754386;2,045113;1;302;0;0,899999976;1
3307637;2;2850;261;13875;2019-04-17 22:22:09.000;844e-0000-0f01-071a;1;78;96;17.04.2019 19:22;50;2;50;50;2019-04-17 19:22:09.000;2,105263;3,553027;1;302;0;1;7,400000095
3307817;2;1220;855;15000;2019-04-17 22:36:39.000;844e-0000-0f01-071a;1;78;96;17.04.2019 19:37;50;2;50;50;2019-04-17 19:36:39.000;2,32777;1,380117;0;302;1;3,5;14
3307818;1;113;3;15000;2019-04-17 22:36:57.000;844e-0000-0f01-071a;1;78;96;2019-04-17 19:37:18.007;30;1;30;30;2019-04-17 19:36:57.000;0,263158;0,08538;0;302;1;2,5;4,800000191
3307819;0;83;2;10175;2019-04-17 22:37:10.000;844e-0000-0f01-071a;1;78;96;17.04.2019 19:37;0;0;0;30;2019-04-17 19:37:10.000;0,122807;0,074141;0;302;1;1,899999976;3,400000095
3307961;2;2851;599;51350;2019-04-17 22:48:01.000;844e-0000-0f01-071a;1;78;96;17.04.2019 19:48;50;2;50;50;2019-04-17 19:48:01.000;0;0,960385;2;302;0;1,399999976;12,69999981
3307963;0;2622;2;11875;2019-04-17 22:48:16.000;844e-0000-0f01-071a;1;78;96;17.04.2019 19:48;0;2;50;50;2019-04-17 19:48:16.000;2,912281;3,814589;1;302;0;0,300000012;1,700000048
3307965;0;1932;15;9825;2019-04-17 22:48:42.000;844e-0000-0f01-071a;1;78;96;17.04.2019 19:48;0;1;30;50;2019-04-17 19:48:42.000;1,964912;3,378421;1;302;0;1;3,700000048
3308085;1;1714;694;8750;2019-04-17 23:00:26.000;844e-0000-0f01-071a;1;78;96;17.04.2019 20:00;30;1;30;30;2019-04-17 20:00:26.000;2,362003;3,356391;1;302;0;2,599999905;12,60000038
3308086;0;1069;4;6075;2019-04-17 23:00:37.000;844e-0000-0f01-071a;1;78;96;17.04.2019 20:00;0;0;0;30;2019-04-17 20:00:37.000;1,877193;2,971627;1;302;0;1,600000024;4,400000095
3308203;2;2854;684;13750;2019-04-17 23:12:16.000;844e-0000-0f01-071a;1;78;96;17.04.2019 20:12;50;2;50;50;2019-04-17 20:12:16.000;2,379118;3,59043;1;302;0;1,5;13,60000038
3308311;1;1711;651;8750;2019-04-17 23:23:17.000;844e-0000-0f01-071a;1;78;96;17.04.2019 20:23;30;1;30;30;2019-04-17 20:23:17.000;2,344887;3,350376;1;302;0;2,900000095;13,80000019
3308498;2;2852;788;13775;2019-04-17 23:36:40.000;844e-0000-0f01-071a;1;78;96;17.04.2019 20:37;50;2;50;50;2019-04-17 20:36:40.000;2,403509;3,581367;1;302;0;1,700000048;15,5
3308538;1;1712;204;8750;2019-04-17 23:40:14.000;844e-0000-0f01-071a;1;78;96;17.04.2019 20:40;30;1;30;30;2019-04-17 20:40:14.000;2,526316;3,352381;1;302;0;1,899999976;9,5
3308541;0;1086;9;6125;2019-04-17 23:40:30.000;844e-0000-0f01-071a;1;78;96;17.04.2019 20:40;0;0;0;30;2019-04-17 20:40:30.000;2,052632;2,996062;1;302;0;1,200000048;4,800000191
3308762;2;2851;1963;24775;2019-04-18 00:13:40.000;844e-0000-0f01-071a;1;78;96;17.04.2019 21:13;50;2;50;50;2019-04-17 21:13:40.000;2,561404;1,990546;0;302;0;2,700000048;19,5
3309016;0;953;2620;8050;2019-04-18 00:57:29.000;844e-0000-0f01-071a;1;78;96;17.04.2019 21:57;0;0;0;30;2019-04-17 21:57:29.000;2,516046;1,989757;0;302;0;7,5;21,39999962
3309164;1;1711;2405;14875;2019-04-18 01:37:50.000;844e-0000-0f01-071a;1;78;96;17.04.2019 22:37;30;1;30;30;2019-04-17 22:37:50.000;2,344887;1,970809;0;302;0;4,599999905;21,60000038
